ACTH : adrenocorticotrop
abominabil : înfricoșător
abominabil : îngrozitor
abominabil : înspăimântător
abominabil : macabru
abominabil : monstruos
abominabil : odios
abominabil : oribil
abominabil : respingător
abominabil : sângeros
abominabil : teribil
abona : prenumăra
abonament : subscriere
abonare : prenumărare
abonare : prenumerație
abonare : cuiva
abonare : publicație
abonat : prenumerant
abonat : subscribent
abonat : prenumărat
aborda : trata
aborda : ataca
aborda : următoarea
abordare : trata
abordare : ataca
abordare : următoarea
abordat : trata
abordat : ataca
abordat : următoarea
abracadabrant : ciudat
abracadabrant : curios
abracadabrant : excentric
abracadabrant : extravagant
abracadabrant : fantasmagoric
abracadabrant : fantezist
abracadabrant : inexplicabil
abracadabrant : insolit
abracadabrant : năstrușnic
abracadabrant : neobișnuit
abracadabrant : original
abracadabrant : paradoxal
abracadabrant : singular
abraziune : abrazare
abraziune : atrițiune
abrevia : scurta
abrevia : numele
abreviat : scurtat
abreviere : abreviație
abreviere : scurtare
abreviere : acronim
abroga : anula
abroga : infirma
abroga : invalida
abroga : suprima
abroga : strica
abroga : surpa
abrogare : abrogație
abrogare : anulare
abrogare : desființare
abrogare : infirmare
abrogare : invalidare
abrogare : suprimare
abrogat : anulat
abrogat : desființat
abrogat : invalidat
abrogat : înlăturat
abrogat : suprimat
abrudeanca : abrudeana
abrudeanca : ardeleana
abrudeanca : ardeleneasca
abrudeanca : ciobănașul
abrudeanca : hațegana
abrudeanca : lugojana
abrudeanca : someșana
abrudeanca : popular
abrudeancă : abrudeana
abrudeancă : ardeleana
abrudeancă : ardeleneasca
abrudeancă : ciobănașul
abrudeancă : hațegana
abrudeancă : lugojana
abrudeancă : someșana
abrudeancă : popular
abrupt : drept
abrupt : perpendicular
abrupt : prăpăstios
abrupt : priporos
abrupt : râpos
abrupt : vertical
abrupt : prăpăstuit
abrupt : prăvălat
abrupt : prăvălatic
abrupt : râpit
abrupt : râpuros
abrupt : țărmuros
abrupt : priporiu
abrupt : pripos
abrupt : măluros
abrupt : străminos
abrupt : repede
abrupt : traseu
abrutiza : animaliza
abrutiza : dezumaniza
abrutiza : îndobitoci
abrutizare : animalizare
abrutizare : dezumanizare
abrutizare : îndobitocire
abrutizat : animalizat
abrutizat : dezumanizat
abrutizat : îndobitocit
abscons : echivoc
abscons : imprecis
abscons : indefinit
abscons : neclar
abscons : nedefinit
abscons : neprecis
absent : pierdut
absent : privire
absenta : lipsire
absenta : lipsi
absentare : lipsi
absență : lipsire
absență : lipsi
absinthium : iarba-fecioarelor
absolut : adânc
absolut : complet
absolut : deplin
absolut : desăvârșit
absolut : perfect
absolut : profund
absolut : total
absolut : întuneric
absolut : suveran
absolut : necondiționat
absolut : suprem
absolut : imperios
absolut : neapărat
absolut : stringent
absolut : nevoie
absolutism : autocrație
absolutism : samoderjavie
absolutist : autocrat
absolutist : autocratic
absolutist : autocraticesc
absolva : isprăvi
absolva : termina
absolva : ierta
absolva : scuti
absolva : milui
absolva : pardona
absolva : slobozi
absolvi : isprăvi
absolvi : termina
absolvi : ierta
absolvi : scuti
absolvi : milui
absolvi : pardona
absolvi : slobozi
absolvire : isprăvire
absolvire : terminare
absolvire : cruțare
absolvire : iertare
absolvire : scutire
absolvit : isprăvi
absolvit : termina
absolvit : ierta
absolvit : scuti
absolvit : milui
absolvit : pardona
absolvit : slobozi
absorbi : aspira
absorbi : încorpora
absorbi : sorbi
absorbi : trage
absorbi : acapara
absorbi : domina
absorbi : preocupa
absorbi : stăpâni
absorbi : rezolvarea
absorbire : aspira
absorbire : încorpora
absorbire : sorbi
absorbire : trage
absorbire : acapara
absorbire : domina
absorbire : preocupa
absorbire : stăpâni
absorbire : rezolvarea
absorbit : preocupat
absorbție : încorporare
absorbție : resorbție
absorbție : sorbire
abstinență : abstențiune
abstract : teoretic
abstract : conceptual
abstract : noțional
abstract : nonfigurativ
abstractizare : abstracție
abstracție : abstractizare
absurd : aberant
absurd : ilogic
absurd : nelogic
absurd : nerațional
absurd : prostesc
absurd : stupid
absurd : elucubrant
absurd : irațional
absurd : situație
absurditate : aberație
absurditate : bazaconie
absurditate : elucubrație
absurditate : enormitate
absurditate : fantasmagorie
absurditate : prostie
absurditate : stupiditate
absurditate : absurd
absurditate : ilogism
absurditate : nonsens
absurdo : aberant
absurdo : ilogic
absurdo : nelogic
absurdo : nerațional
absurdo : prostesc
absurdo : stupid
absurdo : elucubrant
absurdo : irațional
absurdo : situație
abundent : bogat
abundent : copios
abundent : îmbelșugat
abundent : îndestulat
abundent : princiar
abundent : prânz
abur : vapori
abur : agent
aburca : ridica
aburcare : ridica
aburcat : ridica
aburi : asuda
aburire : asuda
aburit : brumat
aburit : pahar
abutilon : teișor
abutilon : crucea-pâinii
abutilon : floarea-crucii
abuz : exces
abuz : samavolnicie
abuz : silnicie
abuz : puternicie
abuz : grecism
abuz : catahris
abuz : blamat
abuz : pentru
abuz : ~urile
abuziv : arbitrar
abuziv : despotic
abuziv : excesiv
abuziv : volnic
abuziv : samavolnic
abuziv : silnic
abuziv : samavolnicește
abuziv : exagerat
abuziv : regim
abuziv : alimentar
abătător : harnic
abătător : muncitor
abătător : neobosit
abătător : neostenit
abătător : silitor
abătător : sârguincios
abătător : sârguitor
abătător : vrednic
abțigui : chercheli
abțigui : îmbăta
abțiguire : chercheli
abțiguire : îmbăta
abțiguit : băut
abțiguit : cherchelit
abțiguit : îmbătat
abține : domina
abține : înfrâna
abține : răbda
abține : reține
abține : stăpâni
abținea : domina
abținea : înfrâna
abținea : răbda
abținea : reține
abținea : stăpâni
abținere : înfrânare
abținere : reținere
abținere : stăpânire
ac : albine
ac : minutar
ac : macaz
ac : schimbător
academic : distins
academic : solemn
academic : elevat
academic : convențional
acaju : mahon
acanthium : ghincar
acanthium : scaiete
acanthium : ghimpe
acanthium : sita-zânelor
acanthoides : ghimpe
acanthoides : mărăcine
acanthoides : șteap
acanthoides : înțepat
acanthoides : într-un
acanthoides : crăpușnic
acanthoides : porumbel
acanthoides : scaiete
acanthoides : unghia-ursului
acanthoides : știft
acanthoides : cilindric
acanthus : talpa-ursului
acantit : argentit
acanto : talpa-ursului
acantă : talpa-ursului
acapara : monopoliza
acapara : atenția
acaparare : monopolizare
acaparat : monopoliza
acaparat : atenția
acaparator : monopolizator
acar : macagiu
acar : căile
acari : macagiu
acari : căile
acarinată : parte
acarinată : grupul
accede : deveni
accedere : deveni
accelera : grăbi
accelera : urgenta
accelera : astăzi
accelera : pripi
accelera : încheierea
accelerare : grăbire
accelerare : iuțire
accelerare : urgentare
accelerare : zorire
accelerare : expedierii
accelerat : grăbit
accelerat : iuțit
accelerat : rapid
accelerat : zorit
accent : intonație
accentua : evidenția
accentua : întări
accentua : marca
accentua : puncta
accentua : releva
accentua : reliefa
accentua : sublinia
accentua : învedera
accentua : calitățile
accentua : amplifica
accentua : crește
accentua : intensifica
accentua : mări
accentua : spori
accentuare : accentuație
accentuare : evidențiere
accentuare : întărire
accentuare : marcare
accentuare : relevare
accentuare : reliefare
accentuare : subliniere
accentuare : potențare
accentuare : caracteristici
accentuat : tonic
accentuat : evidențiat
accentuat : întărit
accentuat : marcat
accentuat : reliefat
accentuat : subliniat
accentuat : potențat
accept : agrea
accepta : agrea
acceptabil : admisibil
acceptabil : convenabil
acceptabil : mulțumitor
acceptabil : satisfăcător
acceptabil : pasabil
acceptabil : soluție
acceptabil : pentru
acceptabil : ambele
acceptabil : bunicel
acceptabil : suportabil
acceptabil : tolerabil
acceptabil : situație
acceptare : admitere
acceptare : recunoaștere
acceptare : punct
acceptat : admis
acceptat : recunoscut
acceptat : recept
acceptat : opinie
accesibil : abordabil
accesibil : practicabil
accesibil : elementar
accesibil : simplu
accesibil : ușor
accesibil : noțiuni
accesibil : inteligibil
accesibil : priceput
accident : denivelare
accident : denivelație
accident : neregularitate
accidental : neesențial
accidental : secundar
accidental : aspect
accidentat : denivelat
accidentat : învălurat
accidentat : neregulat
accidentat : săpat
acer : iscodi
acer : observa
acer : pândi
acer : spiona
acera : iscodi
acera : observa
acera : pândi
acera : spiona
acerare : iscodi
acerare : observa
acerare : pândi
acerare : spiona
acerat : iscodi
acerat : observa
acerat : pândi
acerat : spiona
acerina : ghelci
acerina : ghelmes
aceră : iscodi
aceră : observa
aceră : pândi
aceră : spiona
acest : aiest
acesta : ăsta
acesta : cesta
acesta : aiesta
acetaldehidă : etanal
acetaldol : aldol
acetat : vinil
acetat : poliacetat
acetosa : lugeru-broaștii
acetosa : schiaz
acetosa : ștevie
acetosa : măcrișul
acetosa : măcrișor
acetosa : pădure
acetosa : măcrișul-iepurelui
acetosella : lugeru-broaștii
acetosella : schiaz
acetosella : ștevie
acetosella : măcrișul
acetosella : măcrișor
acetosella : pădure
acetosella : măcrișul-iepurelui
achillea : ptarmica
achillea : strănutătoare
achillea : iarbă-de-strănutat
achita : slobozi
achita : lichida
achita : onora
achita : plăti
achita : număra
achita : plini
achita : răfui
achita : răspunde
achita : grecism
achita : exoflisi
achita : depune
achita : vărsa
achita : termen
achita : scăpa
achitare : lichidare
achitare : onorare
achitare : plătire
achitare : răspundere
achitare : depunere
achitare : vărsare
achitare : ratei
achitat : suprimat
achizitor : colector
acid : acetic
acid : etanoic
acid : aminobenzoic
acid : antranilic
acid : antimonic
acid : hexahidroantimonic
acid : azotic
acid : nitric
acid : azotos
acid : nitros
acid : carbol
acid : fenic
acid : carbon
acid : bioxid
acid : cianhidric
acid : prusic
acid : citric
acid : tartric
acid : lămâie
acid : spirt-de-sare
acid : ditionos
acid : hidrosulfuros
acid : carbolic
acid : folic
acid : pteroilglutamic
acid : fosforic
acid : ortofosforic
acid : glutacid
acid : silicic
acid : trinitrofenol
acid : rodanhidric
acid : tiocianic
acid : ortosilicic
acid : sulfurat
acid : sulfocianhidric
acid : sulfuric
acid : vitriol
acido : acetic
acido : etanoic
acido : aminobenzoic
acido : antranilic
acido : antimonic
acido : hexahidroantimonic
acido : azotic
acido : nitric
acido : azotos
acido : nitros
acido : carbol
acido : fenic
acido : carbon
acido : bioxid
acido : cianhidric
acido : prusic
acido : citric
acido : tartric
acido : lămâie
acido : spirt-de-sare
acido : ditionos
acido : hidrosulfuros
acido : carbolic
acido : folic
acido : pteroilglutamic
acido : fosforic
acido : ortofosforic
acido : glutacid
acido : silicic
acido : trinitrofenol
acido : rodanhidric
acido : tiocianic
acido : ortosilicic
acido : sulfurat
acido : sulfocianhidric
acido : sulfuric
acido : vitriol
acidol : betacid
acira : iepurar
aciră : iepurar
ackermanni : cordar
ackermanni : cuvânt
ackermanni : întinzător
ackermanni : națiune
ackermanni : popor
ackermanni : spion
ackermanni : termen
aclama : ovaționa
aclamare : ovaționa
aclamat : ovaționa
aclamație : osanale
aclamație : ovații
aclamație : urale
aclamație : vivat
aclimatiza : acomoda
aclimatiza : adapta
aclimatiza : deprinde
aclimatiza : familiariza
aclimatiza : obișnui
aclimatizare : acomodare
aclimatizare : adaptare
aclimatizare : dedare
aclimatizare : deprindere
aclimatizare : familiarizare
aclimatizare : obișnuire
aclimatizare : plante
aclimatizare : într-un
aclimatizare : mediu
aclimatizat : acomodat
aclimatizat : deprins
aclimatizat : familiarizat
aclimatizat : obișnuit
acoladă : unește
acoladă : multe
acoladă : portative
acolisitor : infecțios
acolo : acoace
acolo : imediat
acolu : acoace
acolu : imediat
acomodat : dedat
acomodat : deprins
acomodat : familiarizat
acomodat : obișnuit
acompania : secunda
acompaniat : secunda
acompaniator : secundant
aconitum : mărul-lupului
aconitum : mierea-ursului
aconitum : toaie
acont : avans
acont : selem
acont : plătit
acont : pentru
acont : marfa
aconta : arvuni
aconta : arăvonisi
acontare : arvuni
acontare : arăvonisi
acontat : arvuni
acontat : arăvonisi
acoperi : ascunde
acoperi : masca
acoperi : umple
acoperi : scălda
acoperi : sudoare
acoperire : ascundere
acoperire : mascare
acoperit : ascuns
acoperit : camuflat
acoperit : mascat
acoperitoare : învelitoare
acoperiș : acoperământ
acoperiș : învelitoare
acoperiș : astrucământ
acoperământ : pocrov
acoperământ : pentru
acoperământ : vasele
acord : înțelegere
acord : consens
acord : soglăsuire
acord : armonie
acord : sintonie
acorda : dărui
acorda : sintoniza
acorda : potrivi
acorda : regla
acorda : aparat
acordare : sintonizare
acordor : cheie
acordor : pentru
acorus : trestie-mirositoare
acosta : aborda
acosta : țărmui
acosta : țărmuri
acosta : pescui
acostare : aborda
acostare : țărmui
acostare : țărmuri
acostare : pescui
acostat : aborda
acostat : țărmui
acostat : țărmuri
acostat : pescui
acotiledonat : acotiledon
acre : acrit
acreală : acrime
acreală : sărbezime
acri : înăcri
acri : oțeti
acrime : sărbezime
acrire : înăcrire
acrire : oțetire
acrit : înăcrit
acrit : oțetit
acrit : oțetos
acrit : alterat
acrit : brânzit
acrit : scopt
acrobat : săritor
acrobatic : echilibristic
acrobatic : funambulesc
acrobatică : echilibristic
acrobatică : funambulesc
acrocefalie : oxicefalie
acroleină : propenal
acromegalie : boala
acronic : atemporal
acronic : noțiune
acroșa : atârna
acroșa : prinde
acroșa : spânzura
acroșare : acroșaj
acroșare : mingii
acroșat : atârna
acroșat : prinde
acroșat : spânzura
acru : acrit
act : document
act : hârtie
act : izvor
act : scris
act : scrisoare
act : carte
act : izvod
act : încredințare
act : sinet
act : teșcherea
act : zapis
act : acest
act : legitimație
act : eveniment
act : perdea
actaea : spicata
actaea : iarba-tâlharului
actinie : anemonă-de-mare
actinie : dedițel-de-mare
actinie : trandafir-de-mare
activ : silitor
activa : lucra
activa : munci
activa : dinamiza
activa : intensifica
activa : înviora
activa : stimula
activant : activator
activare : dinamizare
activare : intensificare
activare : înviorare
activare : stimulare
activat : lucra
activat : munci
activat : dinamiza
activat : intensifica
activat : înviora
activat : stimula
activist : nomenclaturist
activitate : îndeletnicire
activitate : lucru
activitate : ocupație
activitate : ocupare
activitate : travaliu
activitate : preocupație
actor : artist
actor : interpret
actor : teatralist
actorie : teatru
actorie : lăsat
actual : contemporan
actual : curent
actual : prezent
actual : momentan
actual : curgător
actual : momentos
actual : modern
actual : recent
actual : tehnica
actual : amintire
actual : mereu
actualitate : contemporaneitate
actualitate : prezent
acuitate : agerime
acuitate : clarviziune
acuitate : pătrundere
acuitate : perspicacitate
acuitate : subtilitate
acuitate : sagacitate
acuitate : schepsis
acuitate : ascuțime
aculeata : iarba-vătămăturii
aculeatus : merișor
acum : imediat
acum : actualmente
acum : plecat
acum : momentan
acumula : aduna
acumula : concentra
acumula : înmagazina
acumula : strânge
acumula : cantitate
acumulare : adunare
acumulare : concentrare
acumulare : înmagazinare
acumulare : strângere
acumulat : aduna
acumulat : concentra
acumulat : înmagazina
acumulat : strânge
acumulat : cantitate
acupla : cupla
acuplare : cuplaj
acuplare : cuplare
acuplat : cuplat
acurat : îngrijit
acurat : spălat
acut : ascuțit
acut : înalt
acut : subțire
acut : țiflitor
acut : adânc
acut : intens
acut : pătrunzător
acut : profund
acut : puternic
acut : violent
acut : durere
acutizare : înrăire
acuza : vinui
acuza : culpabiliza
acuza : incrimina
acuza : bănui
acuza : jelui
acuza : prihăni
acuza : inculpa
acuzativ : pricinuitoare
acuzator : incriminator
acuzator : rechizitorial
acuzație : acuzare
acuzație : învinovățire
acuzație : învinuire
acuzație : culpabilizare
acuzație : incriminare
acuzație : incriminație
acuză : acuzație
acuză : învinovățire
acuși : imediat
acvilă : iepurar
acvilă : ortan
acvilă : uligaie
acvilă : vultan
acvilă : vultur
acvilă : zgripțor
acvilă : steag
acționa : deplasa
acționa : mișca
acționa : chema
acționa : opera
acționa : măsurile
acționa : lucra
acționar : societar
acționare : deplasa
acționare : mișca
acționare : chema
acționare : opera
acționare : măsurile
acționare : lucra
acționat : deplasa
acționat : mișca
acționat : chema
acționat : opera
acționat : măsurile
acționat : lucra
acțiune : fabulație
acțiune : subiect
acțiune : acțiune
ad : exact
ad : întocmai
ad : literal
ad : textual
ad : reprodus
ad litteram : exact
ad litteram : întocmai
ad litteram : literal
ad litteram : textual
ad litteram : reprodus
adagio : încet
adagio : lento
adagiu : cugetare
adagiu : dicton
adaos : apendice
adaos : completare
adaos : supliment
adaos : adaos
adaos : comercial
adaos : rabat
adapta : împământeni
adapta : transplanta
adapta : instituție
adapta : adecva
adapta : potrivi
adapta : apropria
adapta : anumit
adaptabil : flexibil
adaptabil : maleabil
adaptabil : mlădios
adaptabilitate : flexibilitate
adaptabilitate : maleabilitate
adaptabilitate : mlădiere
adaptabilitate : cuiva
adaptabilitate : diverse
adaptat : localizat
adaptat : prelucrat
ademenitor : atrăgător
ademenitor : ispititor
ademenitor : îmbietor
ademenitor : seducător
ademenitor : tentant
adept : partizan
adept : susținător
adept : părtean
adera : ralia
adera : intra
adera : înscrie
aderare : intrare
aderare : înscriere
aderare : cuiva
adesea : deseori
adesea : frecvent
adet : compensare
adet : compensație
adet : daune
adet : despăgubire
adet : impozit
adet : obicei
adet : reparație
adet : tradiție
adeveri : confirma
adeveri : împlini
adeveri : îndeplini
adeveri : realiza
adeveri : verifica
adeverință : mărturie
adeverință : sinet
adeverință : testimoniu
adeverință : teșcherea
adeverință : rusism
adeverință : calitatea
adevăr : realitate
adevăr : veridicitate
adevăr : veracitate
adevăr : veritate
adevăr : acest
adevăr : autenticitate
adevăr : exactitate
adevăr : exactitudine
adevăr : confirmat
adevăr : celor
adevăr : spuse
adevărat : aievea
adevărat : autentic
adevărat : incontestabil
adevărat : neîndoielnic
adevărat : neîndoios
adevărat : nescornit
adevărat : netăgăduit
adevărat : pozitiv
adevărat : sigur
adevărat : veridic
adevărat : veritabil
adevărat : lucru
adevărat : interogativ
adevărat : serios
adevărat : întâmplat
adevărat : lucrurile
adevărat : corect
adevărat : drept
adevărat : exact
adevărat : vorbit
adevărat : curat
adevărat : sadea
adevărat : get-beget
adevărat : țăran
adevărat : nefalsificat
adevărat : original
adevărat : cafea
adeziune : aderare
adeziune : raliere
adia : trăgăna
adiacent : contiguu
adiafor : impasibil
adiafor : imperturbabil
adiafor : indiferent
adiafor : insensibil
adiafor : nepăsător
adiafor : nesensibil
adiafor : nesimțitor
adiaforie : delăsare
adiaforie : inerție
adiaforie : insensibilitate
adiaforie : nepăsare
adiaforie : pasivitate
adiaforie : placiditate
adiat : trăgăna
adiată : trăgăna
adică : anume
adică : recte
adică : sireaci
adică : vieții
adiere : boare
adiere : suflare
adiere : suflu
adiere : scutur
adiere : simțea
adiere : zefir
adiere : ușor
adineauri : dinioare
adio : interj
adio : parapanghelos
adio : aleluia
adio : toate
adio : plimbările
aditiv : anticongelant
adiție : adăugare
adiție : adiție
adiție : sumație
adjectiva : adjectiviza
adjectivare : adjectivizare
adjectivat : adjectiviza
adjudeca : harecilui
adjudeca : cuiva
adjudecare : adjudecație
adjudecat : harecilui
adjudecat : cuiva
adjutant : plutonier
adjutant : adjutant
administra : cârmui
administra : conduce
administra : gospodări
administra : oblădui
administra : priveghea
administra : supraveghea
administra : isprăvnici
administra : ocârmui
administra : chivernisi
administra : aplica
administrare : chivernisire
administrat : cârmui
administrat : conduce
administrat : gospodări
administrat : oblădui
administrat : priveghea
administrat : supraveghea
administrat : isprăvnici
administrat : ocârmui
administrat : chivernisi
administrat : aplica
administrator : intendent
administrator : șpan
administrator : epistat
administrator : ispravnic
administrator : provizor
administrator : șofariu
administrator : vechil
administrator : pristav
administrator : vătaf
administrație : administrare
administrație : cârmuire
administrație : conducere
administrație : gospodărire
administrație : oblăduire
administrație : chivernisire
administrație : isprăvnicie
administrație : ocârmuire
administrație : calem
administrație : administrație
administrație : percepție
administrație : perceptorat
administrație : perceptorie
admirabil : deosebit
admirabil : excelent
admirabil : încântător
admirabil : remarcabil
admirabil : spectacol
admirator : închinător
admirator : stimător
admirație : prețuire
admirație : mirare
admirație : pentru
admirație : rămas
admis : acceptat
admis : primit
admis : reușit
admite : accepta
admite : primi
admite : mărturisi
admite : recunoaște
admitere : acceptare
admitere : primire
adnota : glosa
adnotat : glosa
adnotație : adnotare
adolescent : simpatic
adonis : chimen-câinesc
adonis : iarba-cocoșului
adopta : primi
adoptat : primi
adoptiv : înfiat
adoptiv : spiritual
adoptiv : sufletesc
adoptiv : părinții
adora : diviniza
adora : idolatriza
adora : venera
adora : cinsti
adora : slăvi
adorabil : fermecător
adorabil : încântător
adorare : divinizare
adorare : idolatrizare
adorare : venerare
adorat : divinizat
adorat : idolatrizat
adorat : venerat
adorat : cinstit
adorator : slăvitor
adorator : suspinător
adorator : jurul
adorator : roiau
adorație : idolatrie
adorație : venerație
adorație : pentru
adorație : adorare
adorație : extaz
adorație : extaziere
adormi : aromi
adormire : aromi
adormitor : hipnotizant
adormitor : narcotic
adormitor : somnifer
adoxa : moschatellina
adoxa : moscușor
adresă : mehtup
adscendens : ochii-păsăruicii
adscendens : palustris
adscendens : grâul-cucului
adscendens : nu-mă-uita
adscendens : ochiul-șarpelui
adscendens : urechea-șoarecelui
adscendens : strugurel
adscendens : ochiul-boului
adscendens : rotil
adscendens : rotocoale
adscendens : troglodytes
adscendens : pitulice
adscendens : împărățel
adscendens : pietroșel
adscendens : pițiîmpărat
adscendens : pițur
adscendens : sfredeleac
adscendens : tartalac
adscendens : regina-păsărilor
adscendens : șofrac
adscendens : magic
adscendens : indicator
adscendens : acord
adscendens : sintonie
adscendens : mugur
aduce : cauza
aduce : pricinui
aduce : produce
aduce : provoca
aduce : daune
aduce : realiza
aducere : cauza
aducere : pricinui
aducere : produce
aducere : provoca
aducere : daune
aducere : realiza
aducător : semnele
adulație : adulare
adulmec : mirosi
adulmec : puncta
adulmec : mușina
adulmec : mușlui
adulmec : vetri
adulmec : adulma
adulmeca : mirosi
adulmeca : puncta
adulmeca : mușina
adulmeca : mușlui
adulmeca : vetri
adulmeca : adulma
adulmecare : mirosi
adulmecare : puncta
adulmecare : mușina
adulmecare : mușlui
adulmecare : vetri
adulmecare : adulma
adulmecat : mirosi
adulmecat : puncta
adulmecat : mușina
adulmecat : mușlui
adulmecat : vetri
adulmecat : adulma
adulter : infidel
adulter : necredincios
adulter : nefidel
adulter : preacurvar
adulter : preaiubit
adulter : viclean
adulter : viclenitor
adulter : trădător
adulter : femeie
adulter : infidelitate
adulter : înșelăciune
adulter : preacurvie
adulter : preacurvire
adulter : preaiubire
adulter : viclenie
adulter : trădare
adulter : comis
adultera : infidel
adultera : necredincios
adultera : nefidel
adultera : preacurvar
adultera : preaiubit
adultera : viclean
adultera : viclenitor
adultera : trădător
adultera : femeie
adultera : infidelitate
adultera : înșelăciune
adultera : preacurvie
adultera : preacurvire
adultera : preaiubire
adultera : viclenie
adultera : trădare
adultera : comis
aduna : totaliza
aduna : adiționa
aduna : însuma
aduna : sumarisi
aduna : valoarea
aduna : întruni
aduna : reuni
aduna : strânge
aduna : întroloca
aduna : închelba
aduna : închelbăra
aduna : înmănunchea
aduna : versurile
aduna : colecționa
aduna : culege
aduna : folclor
adunare : totalizare
adunare : adiție
adunare : adiționare
adunare : tuturor
adunare : colecționare
adunare : culegere
adunare : strângere
adunare : texte
adunare : adunare
adunare : obște
adunare : sobor
adus : plecat
adus : cocârjat
adus : cocoșat
adus : curbat
adus : gârbov
adus : gârbovit
adus : înclinat
adus : încovoiat
adus : îndoit
adus : strâmb
adus : strâmbat
adus : sucit
adus : spatele
adus : rotilat
adversar : concurent
adversar : rival
adversar : împotrivitor
adversar : râvnaci
adversar : întrecut
adversitate : ostilitate
adversitate : potrivnicie
adversitate : vitregie
adversitate : vrăjmășie
adversitate : acelui
adversitate : dificultate
adversitate : greutate
adversitate : depășit
adversitate : multe
adânc : afund
adânc : profund
adânc : adâncos
adânc : adâncime
adânc : profunzime
adânc : străfund
adânc : măruntaie
adânc : afunzime
adânc : baiere
adânc : compact
adânc : intim
adânc : lăuntric
adânc : intens
adânc : puternic
adânc : impresie
adânc : emoție
adânca : afund
adânca : profund
adânca : adâncos
adânca : adâncime
adânca : profunzime
adânca : străfund
adânca : măruntaie
adânca : afunzime
adânca : baiere
adânca : compact
adânca : intim
adânca : lăuntric
adânca : intens
adânca : puternic
adânca : impresie
adânca : emoție
adânci : afunda
adânci : cufunda
adânci : înfunda
adânci : zgăura
adânci : agrava
adânci : amplifica
adânci : crește
adânci : intensifica
adânci : mări
adânci : spori
adâncime : profunzime
adâncime : profunditate
adâncime : însemnătate
adâncime : seriozitate
adâncime : prefacerilor
adâncitură : găvan
adâncos : afund
adă : cauza
adă : pricinui
adă : produce
adă : provoca
adă : daune
adă : realiza
adăpost : strat
adăpost : cotrog
adăpost : pentru
adăpost : refugiu
adăpost : scăpare
adăpost : liman
adăpost : departe
